order_yearmonth,num_orders,monthly_revenue,avg_order_value
2017-01,750,111798.36,193.31
2017-02,1653,234223.4,175.34
2017-03,2546,359198.85,174.57
2017-04,2303,340669.68,177.54
2017-05,3546,489338.25,175.15
2017-06,3135,421923.37,167.78
2017-07,3872,481604.52,162.15
2017-08,4193,554699.7,175.67
2017-09,4150,607399.67,210.32
2017-10,4478,648247.65,191.52
2017-11,7289,987765.37,182.74
2017-12,5513,726033.19,164.87
2018-01,7069,924645.0,170.97
2018-02,6555,826437.13,170.25
2018-03,7003,953356.25,179.05
2018-04,6798,973534.09,187.38
2018-05,6749,977544.69,189.59
2018-06,6099,856077.86,183.44
2018-07,6159,867953.46,187.74
2018-08,6351,838576.64,169.59
