seller_id,total_orders,total_revenue,avg_rating
4869f7a5dfa277a7dca6462dcf3b52b2,1124,226987.93,4.14
53243585a1d6dc2643021fd1853d8905,348,217940.44,4.13
4a3ca9315b744ce9f8e9374361493884,1772,196882.12,3.83
fa1c13f2614d7b5c4749cbc52fecda94,578,190917.14,4.37
7c67e1448b00f6e969d365cea6b010ab,973,186570.05,3.35
7e93a43ef30c4f03f38b393420bc753a,319,165981.49,4.36
da8622b14eb17ae2831f4ac5b9dab84a,1311,159816.87,4.07
7a67c85e85bb2ce8582c35f2203ad736,1145,139658.69,4.27
1025f0e2d44d7041d6cf58b6550e0bfa,910,138208.56,3.88
955fee9216a65b617aa5c0531780ce60,1261,131836.71,4.09
